path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
docs/closeout-pack-plan/latest-total-closeout-execution-plan.md,tracked,.md,21571,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/new-session-handoff.md,tracked,.md,11406,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/next-pack-queue.json,tracked,.json,684,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/risk-classification-rules.md,tracked,.md,4502,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/runtime-gate-layer.md,tracked,.md,2774,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/critical-rp-saas-hardening-plan.md,tracked,.md,10282,2026-06-19,17,docs,docs/critical-rp-saas-hardening-plan.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/desktop/matter-desktop-auth-session-plan.md,tracked,.md,2387,2026-06-22,14,docs,docs/desktop,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/desktop/matter-desktop-loop-tuw-pyramid-plan.md,tracked,.md,6107,2026-06-22,14,docs,docs/desktop,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/desktop/matter-desktop-temporary-release-plan.md,tracked,.md,3702,2026-06-24,12,docs,docs/desktop,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/desktop/matter-internal-cloudfront-desktop-production-plan.md,tracked,.md,13126,2026-06-24,12,docs,docs/desktop,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/desktop/matter-web-canonical-ui-plan.md,tracked,.md,2121,2026-06-22,14,docs,docs/desktop,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/enterprise-v2-loop-roadmap/enterprise-v2-loop-plan-upgrade.md,tracked,.md,8979,2026-06-19,17,docs,docs/enterprise-v2-loop-roadmap,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/full-spec-microphase-ledger.json,tracked,.json,5735049,2026-06-19,17,docs,docs/full-spec-microphase-ledger.json,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/full-spec-microphase-ledger.md,tracked,.md,816805,2026-06-19,17,docs,docs/full-spec-microphase-ledger.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/goal1-foundation-claude-review-plan.md,tracked,.md,4103,2026-06-19,17,docs,docs/goal1-foundation-claude-review-plan.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hro-deel-parity/people-ko-ui-implementation-plan.md,tracked,.md,12959,2026-06-24,12,docs,docs/hro-deel-parity,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
